"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"1066","W9605_1998","W9605",1998,1,1,1998,1997,"W9605_1997","F",3,"SolitaryF",2.44,"1"
"1067","W9606_1996","W9606",1996,1,1,1996,1995,"W9606_1995","F",1,"WithMother",4.51,"1"
"1068","W9607_1996","W9607",1996,1,1,1996,1995,"W9607_1995","F",1,"WithMother",4.33,"1"
"1069","W9608_1996","W9608",1996,0,1,1996,1995,"W9608_1995","M",1,"WithMother",4.63,"0"
"1070","W9608_1998","W9608",1998,0,1,1998,1997,"W9608_1997","M",3,"SolitaryM",3.29,"0"
"1071","W9609_1996","W9609",1996,0,1,1996,1995,"W9609_1995","M",1,"WithMother",4.95,"0"
"1072","W9609_1997","W9609",1997,0,1,1997,1996,"W9609_1996","M",2,"SolitaryM",3.77,"0"
"1073","W9609_1998","W9609",1998,2,1,1998,1997,"W9609_1997","M",3,"SolitaryM",3.32,"2"
"1074","W9610_1996","W9610",1996,0,1,1996,1995,"W9610_1995","M",1,"WithMother",5.54,"0"
"1075","W9610_1998","W9610",1998,2,1,1998,1997,"W9610_1997","M",3,"SolitaryM",3.16,"2"
"1076","W9611_1997","W9611",1997,0,1,1997,1996,"W9611_1996","M",2,"SolitaryM",4,"0"
"1077","W9611_1998","W9611",1998,2,1,1998,1997,"W9611_1997","M",3,"SolitaryM",3.38,"2"
"1078","W9611_1999","W9611",1999,2,1,1999,1998,"W9611_1998","M",4,"SolitaryM",4.9,"2"
"1079","W9612_1996","W9612",1996,0,1,1996,1995,"W9612_1995","M",1,"WithMother",3.89,"0"
"1080","W9612_1997","W9612",1997,0,1,1997,1996,"W9612_1996","M",2,"SolitaryM",3.85,"0"
"1081","W9612_1998","W9612",1998,2,1,1998,1997,"W9612_1997","M",3,"SolitaryM",3.3,"2"
"1082","W9612_1999","W9612",1999,2,1,1999,1998,"W9612_1998","M",4,"SolitaryM",3.35,"2"
"1083","W9613_1996","W9613",1996,1,1,1996,1995,"W9613_1995","F",1,"WithMother",5.53,"1"
"1084","W9614_1996","W9614",1996,1,1,1996,1995,"W9614_1995","M",1,"WithMother",4.79,"1"
"1085","W9614_1998","W9614",1998,2,1,1998,1997,"W9614_1997","M",3,"SolitaryM",3.33,"2"
"1086","W9615_1996","W9615",1996,1,1,1996,1995,"W9615_1995","F",1,"WithMother",5.77,"1"
"1087","W9615_2003","W9615",2003,2,1,2003,2002,"W9615_2002","F",8,"WithCubs",4.58,"2"
"1088","W9615_2005","W9615",2005,2,2,2005,2004,"W9615_2004","F",10,"WithCubs",6.9,"2"
"1089","W9615_2007","W9615",2007,2,1,2007,2006,"W9615_2006","F",12,"WithCubs",3.83,"2"
